PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
195811179,19006348,99,2019-01-10T16:26:00,"7200 Block Thomas St Pittsburgh, PA 15208",N,Point Breeze North,4,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1405,9,2,-79.9000607116716,40.4509139228446
195822468,19006499,14,2019-01-10T20:25:00,"7100 Block Upland St Pittsburgh, PA 15208",Y,Homewood North,5,CRIM MISCHIEF,3304 Criminal Mischief.,1301,9,2,-79.8973869919297,40.4626173366275
195866650,19006850,10,2019-01-10T16:20:00,"600 Block Grant St Pittsburgh, PA 15219",N,Central Business District,2,TERRORISTIC THREATS,2706 Terroristic Threats.,201,6,6,-79.9948560626431,40.4413629674267
195869346,19006833,27,2019-01-11T11:41:00,"Webster Ave & Bedford Ave Pittsburgh, PA 15219",N,Middle Hill,2,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,501,6,3,-79.9649282069295,40.4528911487056
195869729,19006820,6,2019-01-11T09:00:00,"100 Block Burrows St Pittsburgh, PA 15213",N,West Oakland,4,THEFT FROM AUTO,3934 Theft from Vehicle,402,,,0,0
195776760,19006250,99,2019-01-10T12:50:00,"5700 Block Baum Blvd Pittsburgh, PA 15206",Y,East Liberty,5,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,1115,7,2,-79.933785260738,40.4583618995454
195835386,19006620,10,2019-01-11T01:00:00,Zone 4,Y,,4,SIMPLE ASSAULT,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 3125(a)(1) Agg. indecent assault w/o consent / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck",,,,,
195733669,19005973,18,2019-01-10T01:22:00,"Churchland St & Lincoln Ave Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 4303 General Lighting Requirements. / 1543 Driving While Operating Privilege is Suspended or Revoked.,1201,9,2,-79.8945784134678,40.4697268180316
195755445,19006173,99,2019-01-10T10:15:00,"E Elizabeth St & 2nd Ave Pittsburgh, PA 15207",N,Hazelwood,4,FOUND PROPERTY,9489 Found Property,1515,5,3,-79.9432750750524,40.4070989967063
195772559,19006235,6,2019-01-10T06:15:00,"600 Block Forbes Ave Pittsburgh, PA 15219",N,Bluff,2,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",103,6,3,-79.9936526271794,40.4378262127019
-3232000664,19006120,14,2019-01-10T09:12:00,"5100 Block Coral St Pittsburgh, PA 15224",N,Bloomfield,5,CRIM MISCHIEF,3304 Criminal Mischief.,809,7,2,-79.9429122871787,40.464490948633
195765260,19006192,10,2019-01-10T11:08:00,"2500 Block Baldwick Rd Pittsburgh, PA 15205",N,Oakwood,6,TERRORISTIC THREATS,2706 Terroristic Threats. / 2709(a)(4) Harassment Communicates Prohibited Acts,2812,2,5,-80.0569942489635,40.4272438874501
195768106,19006126,0,2019-01-10T06:35:00,"100 Block Forbes Ave Pittsburgh, PA 15222",N,Central Business District,2,99,9999 9999 - (Misc. Incident): Man Stuck with Hypodermic Needle,201,6,6,-80.0036985115803,40.4409256646993
195826671,19006518,99,2019-01-10T21:08:00,"1500 Block Crucible St Pittsburgh, PA 15220",N,Crafton Heights,6,AIDED CASE,9497 Aided Case,2814,,,0,0
195831967,19006602,99,2019-01-11T00:56:00,"4300 Block Stanley St Pittsburgh, PA 15207",N,Greenfield,4,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),1516,5,3,-79.9436315380953,40.4213104085276
195833427,19006614,10,2019-01-11T01:28:00,"200 Block Chapin St Pittsburgh, PA 15214",N,Summer Hill,1,SIMPLE ASSAULT,2701 Simple Assault.,2612,,,0,0
195832019,19006575,21,2019-01-11T00:04:00,"West Liberty Ave & Pioneer Ave Pittsburgh, PA 15226",Y,Brookline,6,DUI - GENERAL IMPAIRMENT,3802(c) DUI - Highest Rate of Alcohol - BAC >= .16% / 3714 Careless Driving / 3802(a)(1) DUI - General Impairment,1917,4,5,-80.010123220753,40.4129200909288
195843313,19006711,18,2019-01-11T06:02:00,"2000 Block De Ruad St Pittsburgh, PA 15219",Y,West Oakland,4,STOLEN PROPERTY - OTHER,13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(31) Marijuana: Possession Small Amount / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(33) Paraphernalia - Delivery or Intent to Deliver,402,,,0,0
-3253000391,19006748,0,2019-01-11T08:38:00,"Becks Run Rd & Wagner St Pittsburgh, PA 15210",N,St. Clair,3,99,1543 Driving While Operating Privilege is Suspended or Revoked. / 1501 Drivers Required to be Licensed. / 1511 Carrying and Exhibiting Driver's License on Demand.,1606,3,3,-79.9758954781239,40.4043832696765
195731524,18226888,5,2019-01-10T01:04:00,"Churchland St & Lincoln Ave Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,BURGLARY,3502 Burglary. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,1201,9,2,-79.8945784134678,40.4697268180316
195793795,19006361,99,2019-01-10T12:00:00,"4000 Block Penn Ave Pittsburgh, PA 15224",N,Bloomfield,5,LOST PROPERTY,9504 Lost Property,903,7,2,-79.9579274529427,40.4651883742036
195802417,19006373,27,2019-01-10T17:00:00,"Penn Ave & S Braddock Ave Pittsburgh, PA 15221",Y,Point Breeze,2,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 3742.1 Accident Involv. Death/Inj. While not Licensed / 1543 Driving While Operating Privilege is Suspended or Revoked. / 1501 Drivers Required to be Licensed. / 3736 Reckless Driving,201,9,3,-79.8951649869709,40.4471406664877
195807495,19006371,10,2019-01-10T17:04:00,"4900 Block Broad St Pittsburgh, PA 15224",Y,Garfield,5,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1017,9,2,-79.944864389936,40.4667897088948
195818138,19006360,9,2019-01-10T18:00:00,"California Ave & Brighton Pl Pittsburgh, PA 15212",Y,California-Kirkbride,1,TAMPER WITH/FAB PHYS EVIDENCE,"4910 Tampering with or Fabricating Physical Evidence. / 6106 Firearms not to be Carried without a License. / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 3736 Reckless Driving / 3733 Fleeing or Attempting to Elude Police Officer",2507,6,1,-80.0177198324633,40.4595202164001
195820768,19006408,6,2019-01-10T18:04:00,"300 Block Craft Ave Pittsburgh, PA 15213",N,South Oakland,4,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft. / 1301 Registration and Certificate of Title Required. / 1575 Permitting Violation of Title.,409,3,3,-79.9613530522747,40.4353578534006
195826026,19006532,5,2019-01-10T20:30:00,"200 Block Lelia St Pittsburgh, PA 15211",N,Mount Washington,3,BURGLARY,3502 Burglary.,1915,2,5,-80.0102731357711,40.4218733133314
195833633,19006629,3,2019-01-11T01:55:00,"100 Block Rhine Pl Pittsburgh, PA 15212",N,Spring Hill-City View,1,ROBBERY,3701 Robbery. / 2706 Terroristic Threats. / 903 Criminal Conspiracy.,2620,1,1,-79.9920418451489,40.4653596489546
195834719,19006670,10,2019-01-11T03:51:00,"2400 Block Bedford Ave Pittsburgh, PA 15219",N,Bedford Dwellings,2,SIMPLE ASSAULT,2701 Simple Assault.,509,6,3,-79.9742739984904,40.4496143418734
195861989,19006253,27,2019-01-10T13:30:00,"700 Block Casino Dr ,  15233",N,New Homestead,1,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,3103,,,0,0
195862858,19006849,99,2019-01-11T10:16:00,"1200 Block Commercial St Pittsburgh, PA 15218",N,Swisshelm Park,4,AIDED CASE,9497 Aided Case,1411,,,0,0
195780492,19006219,18,2019-01-10T12:38:00,"N Braddock Ave & Mulford St Pittsburgh, PA 15208",Y,Homewood South,5,STOLEN PROPERTY - OTHER,13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(16) Possession of Controlled Substance / 3334 Turning Movements and Required Signals.,1303,9,2,-79.8913042203228,40.4526591709696
195792505,19006327,10,2019-01-10T15:35:00,"600 Block E North Ave Pittsburgh, PA 15212",Y,East Allegheny,1,HARRASSMENT,2709(a)(3) Harassment No Legitimate Purpose,2304,1,1,-79.9999509562216,40.4569466522386
195796563,19006363,99,2019-01-10T16:30:00,"Frankstown Ave & Wheeler St Pittsburgh, PA 15221",Y,Homewood North,5,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,1301,9,2,-79.8847350093177,40.4553487592882
195800920,19006374,18,2019-01-10T17:05:00,"700 Block S Millvale Ave Pittsburgh, PA 15213",Y,Bloomfield,5,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession / 9489 Found Property,804,,,0,0
195736377,19006026,3,2019-01-10T03:27:00,"2200 Block Bedford Ave Pittsburgh, PA 15219",N,Bedford Dwellings,2,ROBBERY,3701 Robbery.,509,6,3,-79.9781010622157,40.448129521411
195739008,19006056,10,2019-01-10T04:41:00,"2100 Block Straubs Ln Pittsburgh, PA 15212",Y,Troy Hill,1,SIMPLE ASSAULT,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",2406,1,1,-79.9794737264101,40.4697377023389
195739920,19006075,29,2019-01-10T06:00:00,"10 Block Edith Pl Pittsburgh, PA 15213",N,South Oakland,4,RUNAWAYS - JUVENILE,029 Missing Juvenile,409,3,3,-79.9543362646412,40.4331458662472
195747691,19006050,21,2019-01-10T04:16:00,"6700 Block Forest Glen Rd Pittsburgh, PA 15217",Y,Squirrel Hill South,4,DUI - GENERAL IMPAIRMENT,3802(c) DUI - Highest Rate of Alcohol - BAC >= .16% / 4703 Operation of Vehicle without Official Certif. of Inspection / 3745 Accidents Involving Damage to Unattended Veh.or Prop. / 3736 Reckless Driving / 4706 Prohib. on Expend. for Emission Insp Prog.. / 1786 Required Financial Responsibility. / 3809(a) Restriction on Alcoholic Beverages in Vehicle / 3802(a)(1) DUI - General Impairment,1408,5,3,-79.9109366449426,40.4344332656451
195748951,19006103,99,2019-01-10T08:20:00,"Amberson Ave & 5th Ave Pittsburgh, PA 15232",N,Shadyside,4,MISCELLANEOUS FIRE VEH INVEST CONTINUED,9122 Miscellaneous Fire Vehicle Investigation to Continue,703,8,3,-79.9388416564557,40.4476939354513
-3124012111,19006142,99,2019-01-10T09:51:00,"2100 Block Varley St Pittsburgh, PA 15212",Y,Spring Hill-City View,1,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),2620,1,1,-79.9922152701099,40.4680517600637
195759915,19006155,18,2019-01-10T10:27:00,"2400 Block Baldwick Rd Pittsburgh, PA 15205",Y,Oakwood,6,STOLEN PROPERTY,13(a)(31) Marijuana: Possession Small Amount,2812,2,5,-80.0589687565031,40.4268626738205
195766861,19006185,0,2019-01-10T11:05:00,"Augusta St & Grandview Ave Pittsburgh, PA 15211",N,Duquesne Heights,3,99,9093 Indirect Criminal Contempt,1911,2,5,-80.0219546260836,40.4396995135691
195768683,19006183,10,2019-01-10T10:45:00,"400 Block Market St Pittsburgh, PA 15222",N,Central Business District,2,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",201,,,0,0
195770770,19006237,11,2019-01-10T13:10:00,"900 Block Liberty Ave Pittsburgh, PA 15222",N,Central Business District,2,CREDIT CARDS,4106 Access Device Fraud,201,6,6,-79.9979394801918,40.4429453058994
195779534,19006255,10,2019-01-10T09:25:00,"400 Block Liberty Br Pittsburgh, PA 15222",N,Central Business District,2,TERRORISTIC THREATS,2706 Terroristic Threats. / 5503 Disorderly Conduct. / 2715 Threat to Use Weapons of Mass Destruction / 3302 Causing or Risking Catastrophe.,201,6,6,-80.0056908034284,40.4409698090743
195780271,19006186,14,2019-01-10T10:00:00,"100 Block Provost Rd Pittsburgh, PA 15227",N,Shadyside,3,CRIM MISCHIEF,3304 Criminal Mischief.,706,,,0,0
195831999,19006553,0,2019-01-10T12:40:00,"2400 Block Arlington Ave Pittsburgh, PA 15210",N,Arlington,3,99,3503(a) Criminal Trespass,1603,3,3,-79.9728420978939,40.4172999409484
195833251,19006641,23,2019-01-11T02:35:00,"900 Block Liberty Ave Pittsburgh, PA 15222",Y,Central Business District,2,PUBLIC DRUNKENESS,5505 Public Drunkenness / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,201,6,6,-79.9979394801918,40.4429453058994
195834297,19006651,21,2019-01-11T02:50:00,"Paulson Ave & Lemington Ave Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,DUI - GENERAL IMPAIRMENT,3802(c) DUI - Highest Rate of Alcohol - BAC >= .16% / 3736 Reckless Driving / 3802(a)(1) DUI - General Impairment,1203,9,2,-79.8971135655389,40.4700799569571
195834596,19006624,0,2019-01-11T01:46:00,"6800 Block McPherson Blvd Pittsburgh, PA 15208",Y,Point Breeze North,4,99,9093 Indirect Criminal Contempt,1405,9,2,-79.9083351385371,40.4546578651435
195835712,19006071,14,2019-01-10T06:03:00,"100 Block Meadow St Pittsburgh, PA 15206",N,Larimer,5,CRIM MISCHIEF,3304 Criminal Mischief.,1208,,,0,0
195835717,19006676,10,2019-01-11T04:18:00,"20 Block Bedford Sq Pittsburgh, PA 15203",Y,South Side Flats,3,SIMPLE ASSAULT,2701 Simple Assault. / 13(a)(16) Possession of Controlled Substance,1702,3,3,-79.9866818107345,40.4291998878723
195735825,19006023,4,2019-01-10T03:19:00,"100 Block Carrington St Pittsburgh, PA 15212",N,Central North Side,1,AGG-ASSAULT,2702 Aggravated Assault.,2503,6,1,-80.008506544734,40.4592044182371
195747024,19006091,27,2019-01-10T06:50:00,"2200 Block Jane St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1702,3,3,-79.9747847525544,40.4266066279165
195779733,19006246,10,2019-01-10T13:00:00,"5700 Block Wellesley Ave Pittsburgh, PA 15206",N,Highland Park,5,HARRASSMENT,2709(a)(3) Harassment No Legitimate Purpose / 2709(a)(4) Harassment Communicates Prohibited Acts,1102,7,2,-79.9233167732698,40.4734660601003
-3232000713,19006266,99,2019-01-10T10:00:00,"7200 Block Mt. Vernon St Pittsburgh, PA 15208",N,Lincoln-Lemington-Belmar,5,MISCELLANEOUS FIRE VEH INVEST CONTINUED,9122 Miscellaneous Fire Vehicle Investigation to Continue,1201,9,2,-79.8944010830047,40.4611940783522
195780558,19006190,0,2019-01-10T11:29:00,"400 Block 56th St Pittsburgh, PA 15201",Y,Upper Lawrenceville,2,99,1574 Permitting Unauthorized Person to Drive. / 1501 Drivers Required to be Licensed.,1011,,,0,0
195785054,19006283,6,2019-01-10T14:28:00,"2200 Block Bedford Ave Pittsburgh, PA 15219",N,Middle Hill,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,501,6,3,-79.9781010622157,40.448129521411
195785148,19006262,0,2019-01-10T13:00:00,"2300 Block Noblestown Rd Pittsburgh, PA 15205",N,Oakwood,6,99,9999 9999 - (Misc. Incident): ,2812,2,5,-80.0543527688347,40.4278403004268
195793251,19006229,6,2019-01-10T13:30:00,"6300 Block Shakespeare St Pittsburgh, PA 15206",Y,Shadyside,4,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise / 5104 Resisting Arrest or Other Law Enforcement.",708,,,0,0
195795481,19005754,18,2019-01-10T07:00:00,"3400 Block Massachusetts Ave Pittsburgh, PA 15212",Y,Brighton Heights,1,STOLEN PROPERTY - OTHER,"13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 903 Criminal Conspiracy. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)",2703,1,1,-80.0389844103518,40.4765158894707
195803062,19006270,99,2019-01-10T14:04:00,"5600 Block Broad St Pittsburgh, PA 15206",N,Garfield,5,MISCELLANEOUS FIRE OTHER INVEST CONTINUED,9123 Miscellaneous Fire Other Investigation to Continue,1114,,,0,0
195812429,19006316,0,2019-01-10T15:37:00,"200 Block S Negley Ave Pittsburgh, PA 15206",N,East Liberty,5,99,3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,1115,,,0,0
195817781,19006434,10,2019-01-10T18:37:00,"1700 Block Belleau Dr Pittsburgh, PA 15212",Y,Fineview,1,SIMPLE ASSAULT,2701 Simple Assault. / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2706 Terroristic Threats. / 2705 Recklessly Endangering Another Person. / 13(a)(31) Marijuana: Possession Small Amount / 13(a)(16) Possession of Controlled Substance,2509,6,1,-80.0069833937371,40.460310552493
195818277,19006463,0,2019-01-10T19:35:00,"2100 Block Noblestown Rd Pittsburgh, PA 15205",Y,Westwood,6,99,"601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",2811,2,5,-80.0535471500779,40.4314604040808
195820718,19006495,99,2019-01-10T15:30:00,"Bellefonte St & Howe St Pittsburgh, PA 15232",N,Shadyside,4,FOUND PROPERTY,9489 Found Property,703,8,2,-79.933350460142,40.4502972005866
195822096,19006264,0,2019-01-10T13:43:00,"300 Block 6th Ave Pittsburgh, PA 15222",N,Central Business District,2,99,9998 Overdose Other,201,6,6,-79.99945506805,40.4416587139748
195824047,19006482,0,2019-01-10T20:08:00,"5th Ave & Van Braam St Pittsburgh, PA 15219",Y,Bluff,2,99,1501 Drivers Required to be Licensed. / 627.02(b)(i) Possessing a small amount of marijuana,103,6,3,-79.9826077456087,40.4384502491307
